time_ms,left_enc,right_enc
1748417169440,0,0
1748417169557,0,0
1748417169660,0,0
1748417169770,0,0
1748417169882,0,0
1748417169990,0,0
1748417170100,0,0
1748417170209,0,0
1748417170321,0,0
1748417170430,0,0
1748417170538,0,0
1748417170648,0,0
1748417170759,54,55
1748417170871,184,190
1748417170978,322,334
1748417171088,461,478
1748417171198,600,623
1748417171308,738,768
1748417171420,877,912
1748417171528,1016,1057
1748417171637,1155,1201
1748417171747,1294,1346
1748417171858,1434,1492
1748417171972,1573,1636
1748417172078,1712,1782
1748417172186,1851,1926
1748417172299,1991,2072
1748417172406,2130,2217
1748417172517,2269,2361
1748417172626,2409,2507
1748417172735,2548,2652
1748417172845,2688,2798
1748417172955,2827,2944
1748417173064,2966,3089
1748417173174,3106,3235
1748417173284,3244,3380
1748417173394,3384,3525
1748417173508,3524,3671
1748417173614,3663,3816
1748417173724,3802,3962
1748417173833,3941,4108
1748417173945,4081,4253
1748417174058,4220,4399
1748417174164,4359,4544
1748417174274,4499,4690
1748417174384,4639,4836
1748417174492,4778,4981
1748417174602,4917,5127
1748417174712,5056,5272
1748417174824,5196,5418
1748417174933,5336,5564
1748417175044,5474,5709
1748417175153,5614,5855
1748417175261,5754,6001
1748417175370,5893,6146
1748417175482,6032,6292
1748417175590,6171,6437
1748417175700,6311,6583
1748417175813,6450,6728
1748417175919,6589,6874
1748417176029,6729,7020
1748417176139,6868,7165
1748417176255,7007,7311
1748417176359,7147,7457
1748417176469,7286,7602
1748417176583,7426,7748
1748417176688,7565,7893
1748417176800,7704,8039
1748417176908,7844,8184
1748417177018,7983,8330
1748417177128,8123,8475
1748417177239,8262,8621
1748417177352,8401,8767
1748417177458,8541,8912
1748417177567,8680,9057
1748417177677,8820,9203
1748417177790,8959,9348
1748417177900,9099,9494
1748417178006,9238,9640
1748417178117,9377,9785
1748417178235,9518,9931
1748417178336,9657,10076
1748417178445,9797,10222
1748417178558,9936,10368
1748417178665,10075,10513
1748417178775,10215,10659
1748417178884,10354,10804
1748417178999,10494,10950
1748417179104,10631,11093
1748417179214,10745,11218
1748417179326,10836,11321
1748417179433,10906,11405
1748417179543,10956,11469
1748417179656,10988,11517
1748417179764,11003,11548
1748417179873,11005,11565
1748417179984,11004,11568
1748417180092,10994,11531
1748417180204,10878,11412
1748417180312,10741,11276
1748417180423,10601,11139
1748417180536,10461,11001
1748417180646,10321,10864
1748417180754,10179,10726
1748417180863,10038,10588
1748417180973,9898,10451
1748417181080,9756,10313
1748417181190,9616,10176
1748417181300,9475,10038
1748417181410,9334,9900
1748417181525,9194,9763
1748417181632,9052,9625
1748417181739,8912,9488
1748417181849,8771,9350
1748417181963,8630,9212
1748417182068,8490,9075
1748417182179,8349,8937
1748417182289,8209,8800
1748417182407,8067,8662
1748417182508,7927,8524
1748417182621,7786,8386
1748417182728,7645,8249
1748417182837,7505,8112
1748417182954,7364,7974
1748417183059,7223,7836
1748417183167,7083,7699
1748417183277,6942,7561
1748417183390,6802,7423
1748417183496,6661,7285
1748417183826,6238,6872
1748417183937,6097,6734
1748417184045,5957,6597
1748417184162,5816,6459
1748417184265,5676,6322
1748417184377,5535,6184
1748417184485,5394,6046
1748417184594,5254,5909
1748417184716,5113,5771
1748417184813,4973,5634
1748417184929,4832,5496
1748417185034,4691,5358
1748417185145,4551,5221
1748417185261,4410,5083
1748417185363,4269,4945
1748417185476,4128,4808
1748417185583,3987,4670
1748417185693,3847,4533
1748417185802,3706,4394
1748417185913,3565,4257
1748417186023,3425,4119
1748417186134,3284,3981
1748417186245,3143,3844
1748417186351,3002,3706
1748417186462,2861,3568
1748417186573,2721,3431
1748417186680,2580,3292
1748417186790,2440,3155
1748417186900,2298,3018
1748417187011,2157,2880
1748417187119,2017,2742
1748417187234,1876,2604
1748417187344,1736,2467
1748417187453,1595,2329
1748417187559,1454,2192
1748417187671,1313,2053
1748417187779,1172,1916
1748417187888,1031,1778
1748417188001,891,1641
1748417188108,750,1503
1748417188217,609,1365
1748417188327,468,1227
1748417188438,327,1089
1748417188554,187,952
1748417188663,45,814
1748417188769,-95,676
1748417188876,-235,538
1748417188991,-376,400
1748417189100,-517,263
1748417189206,-658,125
1748417189317,-798,-12
1748417189427,-939,-150
1748417189536,-1081,-288
1748417189645,-1221,-426
1748417189756,-1362,-564
1748417189865,-1503,-701
1748417189975,-1644,-839
1748417190085,-1785,-977
1748417190194,-1925,-1115
1748417190305,-2066,-1253
1748417190419,-2207,-1390
1748417190524,-2348,-1528
1748417190635,-2489,-1666
1748417190743,-2629,-1803
1748417190853,-2771,-1941
1748417190963,-2911,-2079
1748417191072,-3053,-2217
1748417191182,-3194,-2355
1748417191292,-3334,-2492
1748417191404,-3475,-2630
1748417191517,-3616,-2768
1748417191622,-3757,-2906
1748417191735,-3898,-3044
1748417191842,-4038,-3181
1748417191951,-4179,-3320
1748417192061,-4320,-3457
1748417192174,-4460,-3595
1748417192284,-4601,-3733
1748417192390,-4742,-3870
1748417192500,-4883,-4008
1748417192610,-5023,-4146
1748417192719,-5164,-4284
1748417192830,-5305,-4422
1748417192940,-5446,-4560
1748417193050,-5586,-4697
1748417193159,-5727,-4836
1748417193284,-5867,-4973
1748417193379,-6008,-5111
1748417193499,-6149,-5249
1748417193598,-6289,-5387
1748417193710,-6429,-5522
1748417193818,-6491,-5573
1748417193928,-6373,-5450
1748417194041,-6235,-5306
1748417194147,-6095,-5161
1748417194260,-5955,-5014
1748417194367,-5815,-4868
1748417194477,-5675,-4722
1748417194590,-5535,-4575
1748417194696,-5395,-4430
1748417194810,-5255,-4284
1748417194916,-5114,-4137
1748417195027,-4975,-3992
1748417195137,-4834,-3845
1748417195245,-4695,-3699
1748417195356,-4554,-3552
1748417195465,-4414,-3406
1748417195576,-4274,-3260
1748417195685,-4133,-3114
1748417195794,-3993,-2968
1748417195904,-3853,-2821
1748417196021,-3712,-2675
1748417196133,-3572,-2529
1748417196234,-3431,-2382
1748417196345,-3291,-2237
1748417196460,-3151,-2090
1748417196563,-3010,-1944
1748417196677,-2870,-1798
1748417196783,-2729,-1651
1748417196896,-2589,-1505
1748417197002,-2449,-1359
1748417197112,-2308,-1213
1748417197222,-2168,-1067
1748417197332,-2027,-921
1748417197442,-1886,-774
1748417197552,-1746,-628
1748417197661,-1606,-482
1748417197771,-1466,-336
1748417197884,-1325,-190
1748417197991,-1184,-43
1748417198100,-1044,102
1748417198212,-903,249
1748417198322,-763,395
1748417198429,-622,541
1748417198539,-481,688
1748417198649,-341,834
1748417198760,-200,980
1748417198870,-60,1127
1748417198979,79,1273
1748417199089,220,1420
1748417199198,361,1566
1748417199314,501,1712
1748417199418,642,1858
1748417199527,782,2004
1748417199637,923,2151
1748417199747,1063,2297
1748417199857,1204,2444
1748417199967,1345,2590
1748417200077,1485,2737
1748417200187,1625,2884
1748417200297,1765,3030
1748417200406,1906,3176
1748417200516,2047,3323
1748417200628,2187,3469
1748417200736,2327,3615
1748417200845,2468,3762
1748417200955,2608,3908
1748417201076,2749,4055
1748417201176,2889,4201
1748417201284,3029,4348
1748417201400,3170,4494
1748417201504,3310,4640
1748417201616,3386,4720
1748417201725,3271,4606
1748417201834,3133,4470
1748417201944,2992,4332
1748417202053,2851,4194
1748417202163,2710,4056
1748417202273,2568,3918
1748417202387,2428,3780
1748417202499,2286,3642
1748417202602,2145,3504
1748417202718,2004,3366
1748417202823,1863,3228
1748417202931,1722,3090
1748417203041,1580,2951
1748417203155,1440,2814
1748417203265,1299,2676
1748417203371,1158,2537
1748417203480,1017,2400
1748417203590,876,2261
1748417203700,735,2124
1748417203810,594,1986
1748417203923,453,1847
1748417204033,312,1710
1748417204139,171,1572
1748417204249,30,1434
1748417204361,-110,1296
1748417204469,-252,1158
1748417204580,-392,1020
1748417204689,-534,882
1748417204797,-675,744
1748417204910,-816,606
1748417205021,-957,468
1748417205127,-1098,331
1748417205238,-1239,192
1748417205347,-1380,55
1748417205457,-1521,-83
1748417205567,-1663,-221
1748417205677,-1804,-359
1748417205786,-1944,-497
1748417205896,-2086,-635
1748417206006,-2226,-773
1748417206116,-2368,-911
1748417206233,-2509,-1049
1748417206336,-2649,-1186
1748417206447,-2791,-1325
1748417206555,-2931,-1462
1748417206666,-3073,-1601
1748417206775,-3214,-1739
1748417206884,-3354,-1876
1748417206995,-3496,-2015
1748417207104,-3636,-2152
1748417207215,-3778,-2291
1748417207328,-3919,-2428
1748417207436,-4060,-2567
1748417207544,-4201,-2705
1748417207653,-4341,-2843
1748417207763,-4483,-2981
1748417207873,-4624,-3119
1748417207983,-4765,-3257
1748417208095,-4906,-3395
1748417208202,-5047,-3533
1748417208312,-5188,-3671
1748417208427,-5330,-3809
1748417208532,-5470,-3947
1748417208642,-5612,-4085
1748417208758,-5752,-4223
1748417208863,-5894,-4361
1748417208972,-6035,-4499
1748417209081,-6176,-4637
1748417209195,-6317,-4775
1748417209300,-6458,-4913
1748417209410,-6599,-5051
1748417209520,-6741,-5189
1748417209636,-6882,-5327
1748417209742,-7023,-5465
1748417209849,-7164,-5602
1748417209960,-7305,-5741
1748417210070,-7446,-5879
1748417210179,-7587,-6017
1748417210288,-7728,-6154
1748417210399,-7869,-6293
1748417210510,-8010,-6430
1748417210618,-8151,-6569
1748417210730,-8292,-6707
1748417210837,-8433,-6844
1748417210950,-8574,-6983
1748417211065,-8715,-7120
1748417211167,-8857,-7245
1748417211278,-8984,-7348
1748417211386,-9090,-7430
1748417211499,-9176,-7494
1748417211606,-9242,-7539
1748417211718,-9290,-7569
1748417211826,-9322,-7584
1748417211936,-9338,-7586
1748417212046,-9342,-7586
1748417212155,-9341,-7586
1748417212265,-9341,-7586
1748417212375,-9341,-7586
1748417212488,-9341,-7586
1748417212594,-9341,-7586
1748417212704,-9341,-7586
1748417212822,-9341,-7586
1748417212925,-9341,-7586
1748417213037,-9341,-7586
1748417213143,-9341,-7586
1748417213256,-9341,-7586
1748417213364,-9341,-7586
1748417213476,-9341,-7586
1748417213583,-9341,-7586
1748417213696,-9341,-7586
1748417213803,-9341,-7586
1748417213912,-9341,-7586
1748417214022,-9341,-7586
1748417214139,-9341,-7586
1748417214242,-9341,-7586
1748417214352,-9341,-7586
1748417214461,-9341,-7586
1748417214571,-9341,-7586
1748417214681,-9341,-7586
1748417214791,-9341,-7586
1748417214904,-9341,-7586
1748417215010,-9341,-7586
1748417215120,-9341,-7586
1748417215235,-9341,-7586
1748417215340,-9341,-7586
